snapshot_timestamp,snapshot_date,snapshot_time,snapshot_hour,snapshot_minute,video_id,video_title,published_at,published_date,published_hour,hours_since_published,days_since_published,current_views,current_likes,current_comments,views_per_hour,views_per_day,duration,url,engagement_rate,like_rate,comment_rate,momentum_score,engagement_per_hour
2025-06-20T18:39:32.850188,2025-06-20,18:39:32,18,,SKJpIJWZdDE,Shadow Slaps Italian Brainrot Tung Tung Tung Sahur To The Moon!,2025-06-01T21:08:12+00:00,,21,460.52,19.2,7045,385,8,15.3,,0:23,https://www.youtube.com/watch?v=SKJpIJWZdDE,5.58,5.46,0.11,0.76,0.85
2025-06-20T18:39:32.850188,2025-06-20,18:39:32,18,,WC9C4uqgnak,Hyper Sonic Vs Dark Shadow!!,2025-06-19T12:53:07+00:00,,12,36.77,1.5,32548,958,14,885.09,,9:10,https://www.youtube.com/watch?v=WC9C4uqgnak,2.99,2.94,0.04,349.53,26.43
2025-06-20T18:39:32.850188,2025-06-20,18:39:32,18,,_Sme5_9u_sk,Fleetway Super Sonic Vs Sonic EXE!!,2025-06-17T15:01:01+00:00,,15,82.64,3.4,19676,436,9,238.09,,8:22,https://www.youtube.com/watch?v=_Sme5_9u_sk,2.26,2.22,0.05,53.58,5.38
2025-06-20T18:39:32.850188,2025-06-20,18:39:32,18,,dLkWKcSfcss,Sonic Stunts IN REAL LIFE!!,2025-06-18T15:01:07+00:00,,15,58.64,2.4,32583,1063,10,555.64,,8:36,https://www.youtube.com/watch?v=dLkWKcSfcss,3.29,3.26,0.03,161.37,18.3
2025-06-20T18:39:32.850188,2025-06-20,18:39:32,18,,iynCh82AFX4,Super Sonic.EXE VS Dark Sonic!!,2025-06-16T15:01:13+00:00,,15,106.64,4.4,45920,1318,30,430.61,,9:38,https://www.youtube.com/watch?v=iynCh82AFX4,2.94,2.87,0.07,79.11,12.64
2025-06-20T18:39:32.850188,2025-06-20,18:39:32,18,,xXqlfaa5Faw,Dark Sonic VS The World!!,2025-06-20T11:01:58+00:00,,11,14.63,0.6,14975,548,18,1023.84,,9:40,https://www.youtube.com/watch?v=xXqlfaa5Faw,3.78,3.66,0.12,636.15,38.7
2025-06-20T18:40:25.537485,2025-06-20,18:40:25,18,,1rPQFtnG-h4,Sonic Destroys Tung Tung Tung Sahur!,2025-05-31T21:06:36+00:00,,21,484.56,20.2,10179,562,16,21.01,,0:21,https://www.youtube.com/watch?v=1rPQFtnG-h4,5.68,5.52,0.16,0.99,1.19
2025-06-20T18:40:25.537485,2025-06-20,18:40:25,18,,SKJpIJWZdDE,Shadow Slaps Italian Brainrot Tung Tung Tung Sahur To The Moon!,2025-06-01T21:08:12+00:00,,21,460.54,19.2,7045,385,8,15.3,,0:23,https://www.youtube.com/watch?v=SKJpIJWZdDE,5.58,5.46,0.11,0.76,0.85
2025-06-20T18:40:25.537485,2025-06-20,18:40:25,18,,WC9C4uqgnak,Hyper Sonic Vs Dark Shadow!!,2025-06-19T12:53:07+00:00,,12,36.79,1.5,32616,959,14,886.58,,9:10,https://www.youtube.com/watch?v=WC9C4uqgnak,2.98,2.94,0.04,350.03,26.45
2025-06-20T18:40:25.537485,2025-06-20,18:40:25,18,,_Sme5_9u_sk,Fleetway Super Sonic Vs Sonic EXE!!,2025-06-17T15:01:01+00:00,,15,82.66,3.4,19676,436,9,238.04,,8:22,https://www.youtube.com/watch?v=_Sme5_9u_sk,2.26,2.22,0.05,53.57,5.38
